,Techniques,Rule
0,command_and_conTrol,Resources/sigma-master/rules/proxy/proxy_pwndrop.yml
1,T1071.001,Resources/sigma-master/rules/proxy/proxy_pwndrop.yml
2,T1043,Resources/sigma-master/rules/proxy/proxy_pwndrop.yml
3,T1102.001,Resources/sigma-master/rules/proxy/proxy_pwndrop.yml
4,T1102.003,Resources/sigma-master/rules/proxy/proxy_pwndrop.yml
5,T1102,Resources/sigma-master/rules/proxy/proxy_pwndrop.yml
6,defense_evasion,Resources/sigma-master/rules/proxy/proxy_telegram_api.yml
7,command_and_conTrol,Resources/sigma-master/rules/proxy/proxy_telegram_api.yml
8,T1071.001,Resources/sigma-master/rules/proxy/proxy_telegram_api.yml
9,T1043,Resources/sigma-master/rules/proxy/proxy_telegram_api.yml
10,T1102.002,Resources/sigma-master/rules/proxy/proxy_telegram_api.yml
11,T1102,Resources/sigma-master/rules/proxy/proxy_telegram_api.yml
12,command_and_conTrol,Resources/sigma-master/rules/proxy/proxy_ua_suspicious.yml
13,T1071.001,Resources/sigma-master/rules/proxy/proxy_ua_suspicious.yml
14,defense_evasion,Resources/sigma-master/rules/proxy/proxy_cobalt_onedrive.yml
15,command_and_conTrol,Resources/sigma-master/rules/proxy/proxy_cobalt_onedrive.yml
16,T1071.001,Resources/sigma-master/rules/proxy/proxy_cobalt_onedrive.yml
17,T1043,Resources/sigma-master/rules/proxy/proxy_cobalt_onedrive.yml
18,execuTion,Resources/sigma-master/rules/proxy/proxy_ios_implant.yml
19,T1203,Resources/sigma-master/rules/proxy/proxy_ios_implant.yml
20,collecTion,Resources/sigma-master/rules/proxy/proxy_ios_implant.yml
21,T1005,Resources/sigma-master/rules/proxy/proxy_ios_implant.yml
22,T1119,Resources/sigma-master/rules/proxy/proxy_ios_implant.yml
23,credenTial_access,Resources/sigma-master/rules/proxy/proxy_ios_implant.yml
24,T1528,Resources/sigma-master/rules/proxy/proxy_ios_implant.yml
25,T1552.001,Resources/sigma-master/rules/proxy/proxy_ios_implant.yml
26,T1081,Resources/sigma-master/rules/proxy/proxy_ios_implant.yml
27,command_and_conTrol,Resources/sigma-master/rules/proxy/proxy_ua_cryptominer.yml
28,T1071.001,Resources/sigma-master/rules/proxy/proxy_ua_cryptominer.yml
29,iniTial_access,Resources/sigma-master/rules/proxy/proxy_susp_flash_download_loc.yml
30,T1189,Resources/sigma-master/rules/proxy/proxy_susp_flash_download_loc.yml
31,execuTion,Resources/sigma-master/rules/proxy/proxy_susp_flash_download_loc.yml
32,T1204.002,Resources/sigma-master/rules/proxy/proxy_susp_flash_download_loc.yml
33,T1204,Resources/sigma-master/rules/proxy/proxy_susp_flash_download_loc.yml
34,defense_evasion,Resources/sigma-master/rules/proxy/proxy_susp_flash_download_loc.yml
35,T1036.005,Resources/sigma-master/rules/proxy/proxy_susp_flash_download_loc.yml
36,T1036,Resources/sigma-master/rules/proxy/proxy_susp_flash_download_loc.yml
37,command_and_conTrol,Resources/sigma-master/rules/proxy/proxy_raw_paste_service_access.yml
38,T1071.001,Resources/sigma-master/rules/proxy/proxy_raw_paste_service_access.yml
39,T1043,Resources/sigma-master/rules/proxy/proxy_raw_paste_service_access.yml
40,T1102.001,Resources/sigma-master/rules/proxy/proxy_raw_paste_service_access.yml
41,T1102.003,Resources/sigma-master/rules/proxy/proxy_raw_paste_service_access.yml
42,defense_evasion,Resources/sigma-master/rules/proxy/proxy_raw_paste_service_access.yml
43,T1102,Resources/sigma-master/rules/proxy/proxy_raw_paste_service_access.yml
44,iniTial_access,Resources/sigma-master/rules/proxy/proxy_download_susp_tlds_whitelist.yml
45,T1566,Resources/sigma-master/rules/proxy/proxy_download_susp_tlds_whitelist.yml
46,execuTion,Resources/sigma-master/rules/proxy/proxy_download_susp_tlds_whitelist.yml
47,T1203,Resources/sigma-master/rules/proxy/proxy_download_susp_tlds_whitelist.yml
48,T1204.002,Resources/sigma-master/rules/proxy/proxy_download_susp_tlds_whitelist.yml
49,T1204,Resources/sigma-master/rules/proxy/proxy_download_susp_tlds_whitelist.yml
50,defense_evasion,Resources/sigma-master/rules/proxy/proxy_powershell_ua.yml
51,command_and_conTrol,Resources/sigma-master/rules/proxy/proxy_powershell_ua.yml
52,T1071.001,Resources/sigma-master/rules/proxy/proxy_powershell_ua.yml
53,command_and_conTrol,Resources/sigma-master/rules/proxy/proxy_chafer_malware.yml
54,T1071.001,Resources/sigma-master/rules/proxy/proxy_chafer_malware.yml
55,T1043,Resources/sigma-master/rules/proxy/proxy_chafer_malware.yml
56,defense_evasion,Resources/sigma-master/rules/proxy/proxy_cobalt_ocsp.yml
57,command_and_conTrol,Resources/sigma-master/rules/proxy/proxy_cobalt_ocsp.yml
58,T1071.001,Resources/sigma-master/rules/proxy/proxy_cobalt_ocsp.yml
59,T1043,Resources/sigma-master/rules/proxy/proxy_cobalt_ocsp.yml
60,defense_evasion,Resources/sigma-master/rules/proxy/proxy_cobalt_amazon.yml
61,command_and_conTrol,Resources/sigma-master/rules/proxy/proxy_cobalt_amazon.yml
62,T1071.001,Resources/sigma-master/rules/proxy/proxy_cobalt_amazon.yml
63,T1043,Resources/sigma-master/rules/proxy/proxy_cobalt_amazon.yml
64,iniTial_access,Resources/sigma-master/rules/proxy/proxy_download_susp_tlds_blacklist.yml
65,T1566,Resources/sigma-master/rules/proxy/proxy_download_susp_tlds_blacklist.yml
66,execuTion,Resources/sigma-master/rules/proxy/proxy_download_susp_tlds_blacklist.yml
67,T1203,Resources/sigma-master/rules/proxy/proxy_download_susp_tlds_blacklist.yml
68,T1204.002,Resources/sigma-master/rules/proxy/proxy_download_susp_tlds_blacklist.yml
69,T1204,Resources/sigma-master/rules/proxy/proxy_download_susp_tlds_blacklist.yml
70,iniTial_access,Resources/sigma-master/rules/proxy/proxy_ua_hacktool.yml
71,T1190,Resources/sigma-master/rules/proxy/proxy_ua_hacktool.yml
72,credenTial_access,Resources/sigma-master/rules/proxy/proxy_ua_hacktool.yml
73,T1110,Resources/sigma-master/rules/proxy/proxy_ua_hacktool.yml
74,command_and_conTrol,Resources/sigma-master/rules/proxy/proxy_downloadcradle_webdav.yml
75,T1071.001,Resources/sigma-master/rules/proxy/proxy_downloadcradle_webdav.yml
76,T1043,Resources/sigma-master/rules/proxy/proxy_downloadcradle_webdav.yml
77,defense_evasion,Resources/sigma-master/rules/proxy/proxy_cobalt_malformed_uas.yml
78,command_and_conTrol,Resources/sigma-master/rules/proxy/proxy_cobalt_malformed_uas.yml
79,T1071.001,Resources/sigma-master/rules/proxy/proxy_cobalt_malformed_uas.yml
80,T1043,Resources/sigma-master/rules/proxy/proxy_cobalt_malformed_uas.yml
81,command_and_conTrol,Resources/sigma-master/rules/proxy/proxy_ua_malware.yml
82,T1071.001,Resources/sigma-master/rules/proxy/proxy_ua_malware.yml
83,defense_evasion,Resources/sigma-master/rules/proxy/proxy_empire_ua_uri_combos.yml
84,command_and_conTrol,Resources/sigma-master/rules/proxy/proxy_empire_ua_uri_combos.yml
85,T1071.001,Resources/sigma-master/rules/proxy/proxy_empire_ua_uri_combos.yml
86,T1043,Resources/sigma-master/rules/proxy/proxy_empire_ua_uri_combos.yml
87,command_and_conTrol,Resources/sigma-master/rules/proxy/proxy_ua_frameworks.yml
88,T1071.001,Resources/sigma-master/rules/proxy/proxy_ua_frameworks.yml
89,defense_evasion,Resources/sigma-master/rules/proxy/proxy_download_susp_dyndns.yml
90,command_and_conTrol,Resources/sigma-master/rules/proxy/proxy_download_susp_dyndns.yml
